Month,Ad Spend,Conversions,CTR,Impressions,Cost Per Click,Campaign
2024-11,7544.73,152,11.35,33098,2.01,Campaign 1
2024-11,6109.68,105,11.38,5165,10.39,Campaign 5
2024-09,5831.83,439,9.52,94850,0.65,Campaign 5
2024-10,7708.67,358,32.04,21926,1.10,Campaign 3
2024-04,1381.09,877,43.73,13676,0.23,Campaign 3
2024-05,5594.17,575,2.75,50615,4.02,Campaign 1
2024-11,5984.85,56,1.33,93349,4.83,Campaign 5
2024-05,8731.59,474,9.16,50823,1.88,Campaign 1
2024-06,3875.07,728,5.04,88841,0.87,Campaign 2
2024-11,6532.29,177,5.79,71010,1.59,Campaign 1
2024-05,7003.84,851,46.24,8331,1.82,Campaign 5
2024-06,1128.79,227,6.97,75341,0.21,Campaign 4
2024-07,3016.36,561,27.90,33325,0.32,Campaign 4
2024-10,4294.3,531,7.95,29746,1.82,Campaign 4
2024-01,6460.74,620,7.78,90192,0.92,Campaign 1
2024-07,5526.59,706,0.39,73512,19.19,Campaign 5
2024-11,7801.69,310,4.23,45587,4.05,Campaign 5
2024-08,9732.94,944,34.47,24416,1.16,Campaign 1
2024-11,6285.22,790,29.60,21032,1.01,Campaign 3
2024-09,3579.48,961,54.39,3552,1.85,Campaign 1
2024-05,2788.28,97,1.84,75364,2.01,Campaign 2
2024-02,1719.72,179,14.39,63296,0.19,Campaign 5
2024-10,9324.68,740,3.40,99994,2.75,Campaign 4
2024-11,9046.33,263,3.46,60177,4.35,Campaign 3
2024-06,5762.25,17,4.75,78128,1.55,Campaign 1
2024-11,1140.3,82,107.74,5117,0.21,Campaign 1
2024-05,5622.72,600,9.87,95811,0.59,Campaign 4
2024-08,1396.1,372,8.20,87374,0.19,Campaign 4
2024-08,1075.82,829,5.87,96448,0.19,Campaign 1
2024-04,5594.71,197,36.19,19373,0.80,Campaign 2
2024-04,8176.21,61,2.33,73132,4.80,Campaign 1
2024-09,9300.49,426,8.83,31982,3.29,Campaign 1
2024-04,2064.05,281,506.71,1282,0.32,Campaign 4
2024-08,7117.62,687,9.51,96748,0.77,Campaign 3
2024-03,2568.16,763,110.66,8665,0.27,Campaign 2
2024-12,976.35,951,13.13,63493,0.12,Campaign 3
2024-03,1261.06,619,4.82,25356,1.03,Campaign 1
2024-04,9445.16,602,5.46,75668,2.29,Campaign 4
2024-10,6745.05,333,11.54,75085,0.78,Campaign 1
2024-04,3023.34,478,27.62,18154,0.60,Campaign 3
2024-02,6401.01,85,2.32,74792,3.68,Campaign 1
2024-09,9365.96,388,40.95,10016,2.28,Campaign 3
2024-08,6310.94,18,10.11,86717,0.72,Campaign 5
2024-09,9419.84,128,23.83,18601,2.12,Campaign 3
2024-12,3087.31,744,4.42,80276,0.87,Campaign 5
2024-11,5141.05,659,21.05,7658,3.19,Campaign 3
2024-05,3668.79,175,24.20,18146,0.84,Campaign 1
2024-09,591.86,568,23.40,10862,0.23,Campaign 4
2024-06,1906.89,325,4.43,17704,2.43,Campaign 5
2024-01,6979.63,372,2.02,88416,3.91,Campaign 3
2024-07,9294.76,829,8.62,32029,3.37,Campaign 5
2024-07,7497.36,831,15.37,44540,1.10,Campaign 1
2024-12,2012.38,401,2.01,92917,1.08,Campaign 2
2024-08,8257.57,322,9.50,61332,1.42,Campaign 2
2024-04,6770.32,295,10.29,53227,1.24,Campaign 2
2024-05,4296.94,971,7.75,71282,0.78,Campaign 3
2024-05,9644.08,121,2.03,35795,13.28,Campaign 2
2024-06,6258.98,404,2.93,68033,3.14,Campaign 3
2024-04,7233.46,957,705.81,1221,0.84,Campaign 3
2024-11,4597.33,648,6.26,88062,0.83,Campaign 2
2024-02,3438.2,422,9.98,54528,0.63,Campaign 3
2024-09,4494.24,640,5.82,50695,1.52,Campaign 2
2024-07,3386.81,814,25.02,28549,0.47,Campaign 5
2024-11,4696.97,533,4.02,89555,1.30,Campaign 3
2024-12,3195.97,105,6.35,88012,0.57,Campaign 2
2024-04,8162.35,57,2.46,20313,16.32,Campaign 3
2024-08,4826.45,209,11.41,83544,0.51,Campaign 5
2024-07,2817.85,924,0.22,86990,14.83,Campaign 4
2024-02,2170.92,485,9.31,92214,0.25,Campaign 4
2024-04,1766.72,582,14.22,61901,0.20,Campaign 1
2024-08,4554.04,928,10.17,72810,0.61,Campaign 5
2024-08,7641.88,794,5.49,84579,1.65,Campaign 4
2024-08,4678.79,250,5.06,94525,0.98,Campaign 2
2024-06,1814.55,720,20.36,31311,0.28,Campaign 5
2024-04,4372.19,435,10.72,72121,0.57,Campaign 1
2024-07,9487.59,399,267.75,3560,1.00,Campaign 4
2024-06,8607.76,775,15.95,55921,0.97,Campaign 3
2024-10,2584.51,39,13.86,58125,0.32,Campaign 2
2024-11,8484.8,37,49.93,17728,0.96,Campaign 4
2024-10,1297.5,897,4.06,57179,0.56,Campaign 5
2024-01,3609.85,355,9.00,60598,0.66,Campaign 3
2024-07,2896.58,29,66.51,11735,0.37,Campaign 3
2024-01,6676.37,782,0.88,86426,8.80,Campaign 3
2024-04,6402.69,494,6.72,32266,2.95,Campaign 2
2024-10,7144.92,630,5.77,49351,2.51,Campaign 2
2024-12,9664.85,36,63.17,15168,1.01,Campaign 1
2024-10,9443.97,616,4.98,26995,7.02,Campaign 4
2024-11,7123.33,834,24.52,40529,0.72,Campaign 2
2024-10,5561.08,80,7.04,87706,0.90,Campaign 1
2024-06,8312.14,993,48.55,14833,1.15,Campaign 1
2024-08,2173.3,640,6.52,69386,0.48,Campaign 2
2024-09,4637.96,284,10.13,96817,0.47,Campaign 4
2024-04,8875.5,593,23.40,32963,1.15,Campaign 1
2024-07,5195.91,509,7.06,43600,1.69,Campaign 3
2024-05,8863.04,579,4.98,92905,1.92,Campaign 3
2024-04,7340.71,786,14.14,65038,0.80,Campaign 1
2024-08,8032.86,236,37.28,13196,1.63,Campaign 4
2024-04,4005.69,362,11.96,73544,0.46,Campaign 3
2024-12,3842.2,323,7.50,60473,0.85,Campaign 5
2024-02,1635.77,206,4.40,71236,0.52,Campaign 2
